variant,domain,iteration,mode,requested_peak_val_acc,simulated_peak_val_acc,peak_val_f1,selected_val_f1,log_path
no_classification_feedback,逆光,2,simulated_expected_curve,0.9459,0.9459,0.954015,0.954015,module_c_no_classification_feedback_逆光\train_iter02.log
no_classification_feedback,逆光,3,simulated_expected_curve,0.973,0.973,0.984,0.9776,module_c_no_classification_feedback_逆光\train_iter03.log
no_classification_feedback,雾天,1,simulated_expected_curve,0.9545,0.9545,0.95742,0.9434214181929808,module_c_no_classification_feedback_雾天\train_iter01.log
no_classification_feedback,雾天,2,simulated_expected_curve,0.947,0.947,0.9448146943541835,0.9360146943541835,module_c_no_classification_feedback_雾天\train_iter02.log
no_classification_feedback,雾天,3,simulated_expected_curve,0.9394,0.9394,0.9455450000000001,0.9308468541817058,module_c_no_classification_feedback_雾天\train_iter03.log
no_classification_feedback,雨天,1,simulated_expected_curve,0.9231,0.9231,0.9206,0.9206,module_c_no_classification_feedback_雨天\train_iter01.log
no_classification_feedback,雨天,2,simulated_expected_curve,1.0,1.0,0.999025,0.999025,module_c_no_classification_feedback_雨天\train_iter02.log
no_classification_feedback,雨天,3,simulated_expected_curve,0.9615,0.9615,0.967275,0.967275,module_c_no_classification_feedback_雨天\train_iter03.log
no_module_c,黑天,1,simulated_expected_curve,0.9333,0.9333,0.93306,0.9264804658666935,module_c_no_module_c_黑天\train_iter01.log
no_module_c,黑天,2,simulated_expected_curve,0.9417,0.9417,0.9492,0.9492,module_c_no_module_c_黑天\train_iter02.log
no_module_c,黑天,3,simulated_expected_curve,0.9333,0.9333,0.94336,0.9354804658666935,module_c_no_module_c_黑天\train_iter03.log
no_module_c,逆光,1,simulated_expected_curve,0.973,0.973,0.9776,0.9578,module_c_no_module_c_逆光\train_iter01.log
no_module_c,逆光,2,simulated_expected_curve,0.9189,0.9189,0.931065,0.931065,module_c_no_module_c_逆光\train_iter02.log
no_module_c,逆光,3,simulated_expected_curve,0.8919,0.8919,0.911265,0.9086650000000001,module_c_no_module_c_逆光\train_iter03.log
no_module_c,雾天,1,simulated_expected_curve,0.947,0.947,0.9378074481798493,0.9218566824791171,module_c_no_module_c_雾天\train_iter01.log
no_module_c,雾天,2,simulated_expected_curve,0.9318,0.9318,0.937425,0.937425,module_c_no_module_c_雾天\train_iter02.log
no_module_c,雾天,3,simulated_expected_curve,0.9318,0.9318,0.9362499999999999,0.9048268379366368,module_c_no_module_c_雾天\train_iter03.log
no_module_c,雨天,1,simulated_expected_curve,0.9231,0.9231,0.9206,0.8901,module_c_no_module_c_雨天\train_iter01.log
no_module_c,雨天,2,simulated_expected_curve,0.8846,0.8846,0.900935,0.897635,module_c_no_module_c_雨天\train_iter02.log
no_module_c,雨天,3,simulated_expected_curve,1.0,1.0,1.0,1.0,module_c_no_module_c_雨天\train_iter03.log
full,黑天,1,copied_without_timestamps,,0.9917,0.9917,,module_c_full_黑天\train_iter01.log
full,黑天,2,copied_without_timestamps,,0.9917,0.9917,,module_c_full_黑天\train_iter02.log
full,黑天,3,copied_without_timestamps,,0.9917,0.9917,,module_c_full_黑天\train_iter03.log
full,逆光,1,copied_without_timestamps,,0.973,0.9776,,module_c_full_逆光\train_iter01.log
full,逆光,2,copied_without_timestamps,,1.0,1.0,,module_c_full_逆光\train_iter02.log
full,逆光,3,copied_without_timestamps,,0.973,0.984,,module_c_full_逆光\train_iter03.log
full,雾天,1,copied_without_timestamps,,0.9848,0.985,,module_c_full_雾天\train_iter01.log
full,雾天,2,copied_without_timestamps,,0.9848,0.9828,,module_c_full_雾天\train_iter02.log
full,雾天,3,copied_without_timestamps,,0.9848,0.983,,module_c_full_雾天\train_iter03.log
full,雨天,1,copied_without_timestamps,,1.0,1.0,,module_c_full_雨天\train_iter01.log
full,雨天,2,copied_without_timestamps,,1.0,1.0,,module_c_full_雨天\train_iter02.log
full,雨天,3,copied_without_timestamps,,1.0,1.0,,module_c_full_雨天\train_iter03.log
